iter	Passed	Remaining
0	16	16394
1	33	16656
2	50	16775
3	66	16632
4	83	16572
5	99	16488
6	117	16705
7	136	16921
8	154	17039
9	171	17006
10	188	16992
11	205	16942
12	231	17566
13	256	18064
14	273	17986
15	289	17812
16	304	17630
17	322	17586
18	338	17456
19	353	17337
20	369	17240
21	388	17248
22	405	17214
23	421	17146
24	438	17092
25	453	17000
26	470	16950
27	486	16872
28	501	16782
29	517	16739
30	532	16659
31	549	16618
32	566	16597
33	582	16549
34	597	16485
35	613	16431
36	629	16391
37	647	16379
38	662	16328
39	678	16277
40	692	16207
41	708	16167
42	724	16121
43	739	16066
44	755	16038
45	771	16003
46	789	16010
47	804	15961
48	820	15932
49	836	15899
50	852	15854
51	868	15833
52	884	15808
53	900	15783
54	916	15746
55	932	15718
56	947	15676
57	964	15657
58	979	15614
59	995	15591
60	1011	15567
61	1024	15498
62	1045	15556
63	1061	15528
64	1076	15483
65	1093	15476
66	1109	15444
67	1125	15425
68	1141	15402
69	1158	15390
70	1175	15376
71	1194	15396
72	1211	15388
73	1228	15378
74	1245	15355
75	1262	15343
76	1280	15351
77	1298	15346
78	1315	15337
79	1333	15339
80	1352	15340
81	1370	15345
82	1391	15369
83	1410	15380
84	1433	15428
85	1451	15425
86	1472	15451
87	1494	15484
88	1516	15521
89	1538	15557
90	1563	15622
91	1586	15658
92	1609	15697
93	1630	15715
94	1652	15741
95	1671	15739
96	1692	15757
97	1709	15738
98	1727	15725
99	1745	15711
100	1763	15698
101	1783	15699
102	1800	15683
103	1818	15665
104	1836	15657
105	1854	15640
106	1870	15613
107	1886	15584
108	1902	15551
109	1920	15536
110	1938	15524
111	1954	15497
112	1972	15483
113	1990	15472
114	2008	15457
115	2026	15445
116	2045	15438
117	2063	15421
118	2080	15404
119	2099	15396
120	2118	15389
121	2136	15375
122	2154	15360
123	2171	15341
124	2189	15328
125	2207	15313
126	2225	15298
127	2243	15280
128	2260	15262
129	2279	15253
130	2296	15233
131	2314	15218
132	2331	15200
133	2349	15183
134	2368	15172
135	2391	15192
136	2409	15179
137	2428	15168
138	2446	15155
139	2463	15130
140	2480	15108
141	2497	15092
142	2514	15069
143	2536	15078
144	2559	15094
145	2587	15135
146	2607	15133
147	2627	15127
148	2644	15101
149	2679	15184
150	2697	15166
151	2715	15149
152	2732	15127
153	2750	15109
154	2767	15088
155	2786	15075
156	2805	15062
157	2821	15038
158	2838	15013
159	2855	14989
160	2873	14974
161	2891	14954
162	2909	14942
163	2927	14923
164	2944	14899
165	2962	14883
166	2979	14863
167	2996	14837
168	3012	14814
169	3031	14798
170	3047	14773
171	3063	14747
172	3081	14728
173	3100	14719
174	3118	14701
175	3134	14676
176	3149	14646
177	3165	14619
178	3184	14604
179	3201	14585
180	3216	14556
181	3232	14527
182	3248	14502
183	3264	14478
184	3281	14454
185	3297	14430
186	3317	14425
187	3334	14402
188	3350	14377
189	3366	14353
190	3382	14328
191	3402	14319
192	3419	14299
193	3436	14276
194	3453	14258
195	3470	14236
196	3487	14214
197	3504	14193
198	3520	14169
199	3537	14149
200	3553	14125
201	3571	14108
202	3586	14079
203	3601	14053
204	3617	14028
205	3633	14006
206	3649	13980
207	3665	13955
208	3681	13932
209	3696	13906
210	3713	13884
211	3729	13862
212	3748	13850
213	3765	13830
214	3781	13806
215	3796	13781
216	3813	13758
217	3829	13736
218	3845	13712
219	3860	13687
220	3876	13663
221	3891	13638
222	3907	13615
223	3923	13591
224	3939	13569
225	3955	13545
226	3970	13520
227	3986	13499
228	4003	13478
229	4019	13455
230	4038	13445
231	4058	13434
232	4074	13413
233	4093	13398
234	4110	13381
235	4128	13365
236	4145	13346
237	4163	13329
238	4181	13313
239	4199	13296
240	4216	13280
241	4234	13262
242	4253	13249
243	4270	13231
244	4288	13214
245	4305	13196
246	4323	13179
247	4340	13162
248	4359	13147
